Book Id,Title,Author,My Rating,Average Rating,Exclusive Shelf,Date Read,Date Added,Number of Pages,Year Published,Original Publication Year,My Review,ISBN13_clean,description,genres,coverImg,series,genres_list
211770663,"LLM, Transformer & RAG (Retrieval-Augmented Generation) : Dominar modelos de idiomas grandes, modelos de transformadores y tecnología de generación acuática (RAG) de recuperación (Spanish Edition)",Et Tu Code,3,3.0,read,2025/08/14,2025/08/30,428.0,2024.0,,,,Out of print.,['Fantasy'],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508115766l/36420089._SY475_.jpg,The Chronicles of Gilgamesh Row #1,['Fantasy']
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,4,4.12,read,2025/08/30,2025/08/30,144.0,2017.0,2017.0,,,Out of print.,['Fantasy'],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508115766l/36420089._SY475_.jpg,The Chronicles of Gilgamesh Row #1,['Fantasy']
207619644,The Kids Are All Right: Parenting with Confidence in an Uncertain World,Gabrielle Stanley Blair,3,4.09,read,2025/07/12,2025/07/12,181.0,2024.0,,,,Out of print.,['Fantasy'],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508115766l/36420089._SY475_.jpg,The Chronicles of Gilgamesh Row #1,['Fantasy']
19351402,On Taste; On the Sublime and Beautiful; Reflections on the French Revolution; A Letter to a Noble Lord (Harvard Classics Vol 24),Edmund Burke,2,3.69,read,2017/02/20,2017/06/07,425.0,1909.0,1757.0,,,Out of print.,['Fantasy'],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508115766l/36420089._SY475_.jpg,The Chronicles of Gilgamesh Row #1,['Fantasy']
1303,The 48 Laws of Power,Robert Greene,1,4.09,read,2024/11/02,2020/05/07,452.0,2000.0,1999.0,"I’ve seen The 48 Laws of Power on recommended reading lists for years and finally decided to read it. And it was diabolical. I fundamentally disagree with its Machiavellian premise that life is merely a quest for power and that deceit, cruelty, and manipulation are essential tools for success. <br/><br/>Admittedly, it was eye-opening and intriguing to consider how power-obsessed leaders in history (or in current times) may perceive the world. But my main problem with this book is that it is not written as an exploration on the concept of power, it is written as an often ruthless manual for obtaining power above all else which I find to be dangerous and misleading as a singular goal.<br/><br/>I also personally find unconvincing the argument that this book is still valuable for understanding how others might wield power against us. If I choose to believe that these laws truly do govern the world, then I have to sacrifice my trust in relationships, morality, and humanity. And that is too steep of a cost. ",9780140280197,"This amoral, cunning, ruthless, and instructive book synthesizes the philosophies of Machiavelli, Sun Tzu, and Carl Von Clausewitz with the historical legacies of statesmen, warriors, seducers, and con men throughout the ages.","['Nonfiction', 'Business', 'Psychology', 'Self Help', 'Philosophy', 'History', 'Politics', 'Leadership', 'Personal Development', 'Audiobook']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385228992l/1303.jpg,,"['Nonfiction', 'Business', 'Psychology', 'Self Help', 'Philosophy', 'History', 'Politics', 'Leadership', 'Personal Development', 'Audiobook']"
14288381,"The Harvard Classics, vol. 4",Charles William Eliot,3,4.09,read,2017/01/02,2017/06/07,463.0,1909.0,,,,Out of print.,['Fantasy'],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508115766l/36420089._SY475_.jpg,The Chronicles of Gilgamesh Row #1,['Fantasy']
34703445,"Edgedancer (The Stormlight Archive, #2.5)",Brandon Sanderson,3,4.13,read,2024/10/05,2024/10/06,272.0,2017.0,2016.0,,9781250166548,"
  From #1 New York Times bestselling author Brandon Sanderson, a special gift edition of Edgedancer, a short novel of the Stormlight Archive.
Three years ago, Lift asked a goddess to stop her from growing older--a wish she believed was granted. Now, in Edgedancer, the barely teenage nascent Knight Radiant finds that time stands still for no one. Although the young Azish emperor granted her safe haven from an executioner she knows only as Darkness, court life is suffocating the free-spirited Lift, who can't help heading to Yeddaw when she hears the relentless Darkness is there hunting people like her with budding powers. The downtrodden in Yeddaw have no champion, and Lift knows she must seize this awesome responsibility.
  Other books by Brandon Sanderson

  
    The Cosmere
  
  
  
  
  The Mistborn Saga
  
  Mistborn: The Final Empire
  
  The Well of Ascension
  
  The Hero of Ages
  
  Alloy of Law
  
  Shadows of Self
  
  Bands of Mourning
The Stormlight ArchiveThe Way of KingsWords of RadianceEdgedancer (Novella)Oathbringer (forthcoming)
  Collection
  
  Arcanum Unbounded

  Other Cosmere Titles
  
  Elantris
  
  Warbreaker
  
  Rithmatist

  
    The Alcatraz vs. the Evil Librarians Series
  
  
  Alcatraz vs. the Evil Librarians
  
  The Scrivener's Bones
  
  The Knights of Crystallia
  
  The Shattered Lens
  
  The Dark Talent

  
    The Reckoners Series
  
  
  Steelheart
  
  Firefight
  
  Calamity
At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.","['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Novella', 'Audiobook', 'Short Stories', 'Adult', 'Magic', 'Science Fiction Fantasy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494798317l/34704992._SY475_.jpg,The Stormlight Archive #2.5,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Novella', 'Audiobook', 'Short Stories', 'Adult', 'Magic', 'Science Fiction Fantasy']"
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,5,4.76,read,2024/09/28,2024/09/28,1088.0,2014.0,2014.0,,9780765326362,"Words of Radiance, Book Two of the Stormlight Archive, continues the immersive fantasy epic that The Way of Kings began.Expected by his enemies to die the miserable death of a military slave, Kaladin survived to be given command of the royal bodyguards, a controversial first for a low-status ""darkeyes."" Now he must protect the king and Dalinar from every common peril as well as the distinctly uncommon threat of the Assassin, all while secretly struggling to master remarkable new powers that are somehow linked to his honorspren, Syl.The Assassin, Szeth, is active again, murdering rulers all over the world of Roshar, using his baffling powers to thwart every bodyguard and elude all pursuers. Among his prime targets is Highprince Dalinar, widely considered the power behind the Alethi throne. His leading role in the war would seem reason enough, but the Assassin's master has much deeper motives.Brilliant but troubled Shallan strives along a parallel path. Despite being broken in ways she refuses to acknowledge, she bears a terrible burden: to somehow prevent the return of the legendary Voidbringers and the civilization-ending Desolation that will follow. The secrets she needs can be found at the Shattered Plains, but just arriving there proves more difficult than she could have imagined.Meanwhile, at the heart of the Shattered Plains, the Parshendi are making an epochal decision. Hard pressed by years of Alethi attacks, their numbers ever shrinking, they are convinced by their war leader, Eshonai, to risk everything on a desperate gamble with the very supernatural forces they once fled. The possible consequences for Parshendi and humans alike, indeed, for Roshar itself, are as dangerous as they are incalculable.","['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Magic', 'Science Fiction Fantasy', 'Epic', 'Adult', 'Adventure']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507307927l/17332218.jpg,The Stormlight Archive #2,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Magic', 'Science Fiction Fantasy', 'Epic', 'Adult', 'Adventure']"
41881472,"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,5,4.28,read,2023/09/23,2023/08/13,242.0,2020.0,2020.0,,,Out of print.,['Fantasy'],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508115766l/36420089._SY475_.jpg,The Chronicles of Gilgamesh Row #1,['Fantasy']
6596,The Four Agreements: A Practical Guide to Personal Freedom,Miguel Ruiz,0,4.19,to-read,,2023/08/23,152.0,2001.0,1997.0,,9781878424501,"In The Four Agreements, don Miguel Ruiz reveals the source of self-limiting beliefs that rob us of joy and create needless suffering. Based on ancient Toltec wisdom, the Four Agreements offer a powerful code of conduct that can rapidly transform our lives to a new experience of freedom, true happiness, and love. The Four Agreements are: Be Impeccable With Your Word, Don't Take Anything Personally, Don't Make Assumptions, Always Do Your Best.","['Self Help', 'Nonfiction', 'Spirituality', 'Philosophy', 'Personal Development', 'Psychology', 'Inspirational', 'Religion', 'Audiobook', 'Business']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348204644l/6596.jpg,,"['Self Help', 'Nonfiction', 'Spirituality', 'Philosophy', 'Personal Development', 'Psychology', 'Inspirational', 'Religion', 'Audiobook', 'Business']"
