Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read
34002132,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,,,4,4.6,Tor Books,Hardcover,1248,2017,2017,2025/12/30
361459,An Unquiet Mind: A Memoir of Moods and Madness,Kay Redfield Jamison,"Jamison, Kay Redfield",,679763309,9780679763307,4,4.06,Vintage,Paperback,240,1997,1995,2025/12/20
222376574,"Don't Call It a Comeback: What Happened When I Stopped Chasing PRs, and Started Chasing Happiness",Keira D'Amato,"D'Amato, Keira",,1250344948,9781250344946,4,4.19,St. Martin's Press,Hardcover,304,2025,,2025/12/14
220395156,Ocean: Earth’s Last Wilderness,David Attenborough,"Attenborough, David",Colin Butfield,1538772299,9781538772294,4,4.44,Grand Central Publishing,Hardcover,400,2025,2025,2025/12/6
31823677,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,"Ferriss, Timothy",Arnold Schwarzenegger,,,3,4.1,Houghton Mifflin Harcourt,Kindle Edition,827,2016,2016,2025/11/15
216351768,The Let Them Theory: A Life-Changing Tool That Millions of People Can't Stop Talking About,Mel Robbins,"Robbins, Mel",,1401971377,9781401971373,3,4.04,Hay House LLC,Kindle Edition,311,2024,2024,2025/11/13
61058107,The Staff Engineer's Path: A Guide for Individual Contributors Navigating Growth and Change,Tanya Reilly,"Reilly, Tanya",,1098118731,9781098118730,5,4.38,O'Reilly Media,Paperback,335,2022,2022,2025/10/25
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,,,4,4.12,Tor.com,ebook,144,2017,2017,2025/08/30
211770663,"LLM, Transformer & RAG (Retrieval-Augmented Generation) : Dominar modelos de idiomas grandes, modelos de transformadores y tecnología de generación acuática (RAG) de recuperación (Spanish Edition)",Et Tu Code,"Code, Et Tu",,,,3,3,,Kindle Edition,428,2024,,2025/08/14
232109821,"Rewiring Your Mind for AI: How to Think, Work, and Thrive in the Age of Intelligence",David Wood,"Wood, David",,1634627571,9781634627573,5,4.17,Technics Publications,Kindle Edition,176,2025,,2025/07/29
207619644,The Kids Are All Right: Parenting with Confidence in an Uncertain World,Gabrielle Stanley Blair,"Blair, Gabrielle Stanley",Ben Blair,,,3,4.1,Workman Publishing Company,Kindle Edition,181,2024,,2025/07/12
58230358,Data Mesh: Delivering Data-Driven Value at Scale,Zhamak Dehghani,"Dehghani, Zhamak",,1492092398,9781492092391,4,3.78,O'Reilly Media,Paperback,384,2022,2022,2025/07/05
213034913,Source Code: My Beginnings,Bill Gates,"Gates, Bill",,059380158X,9780593801581,4,4.16,Knopf,Hardcover,336,2025,2025,2025/05/25
61918539,Soul Boom: Why We Need a Spiritual Revolution,Rainn Wilson,"Wilson, Rainn",,306828278,9780306828270,3,3.81,Grand Central Publishing,Hardcover,304,2023,2023,2025/05/09
216857785,Revenge of the Tipping Point,Malcolm Gladwell,"Gladwell, Malcolm",,316575801,9780316575805,3,4.02,"Little, Brown and Company",Hardcover,352,2024,2024,2025/04/15
61423854,Built to Move: The Ten Essential Habits to Help You Move Freely and Live Fully,Kelly Starrett,"Starrett, Kelly",Juliet Starrett,593534808,9780593534809,5,4.23,Knopf,Hardcover,336,2023,2023,2025/03/25
175352596,Both Things Are True,Kate Holbrook,"Holbrook, Kate",,1649332203,9781649332202,3,4.45,Maxwell Institute,Kindle Edition,152,2023,,2025/03/15
108780,The Penguin History of New Zealand,Michael King,"King, Michael",,143018671,9780143018674,3,4.13,Penguin Books,Paperback,570,2003,2003,2025/02/28
62352297,Awe: The New Science of Everyday Wonder and How It Can Transform Your Life,Dacher Keltner,"Keltner, Dacher",,1984879685,9781984879684,3,3.62,Penguin Press,Hardcover,336,2023,2023,2025/01/17
59808041,How Not to Age: The Scientific Approach to Getting Healthier as You Get Older,Michael Greger,"Greger, Michael",,1250796334,9781250796332,3,4.24,Flatiron Books,Hardcover,640,2023,2023,2025/01/10
50484473,Lives of the Stoics: The Art of Living from Zeno to Marcus Aurelius,Ryan Holiday,"Holiday, Ryan",Stephen Hanselman,052554187X,9780525541875,3,4.03,Portfolio,Hardcover,352,2020,2020,2024/12/18
45024007,The Singularity Is Nearer: When We Merge with AI,Ray Kurzweil,"Kurzweil, Ray",,399562761,9780399562761,3,3.89,Viking,Hardcover,432,2024,2024,2024/12/16
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,1250103509,9781250103505,4,4.05,St. Martin's Press,Hardcover,336,2017,2017,2024/12/01
204927599,Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,"Harari, Yuval Noah",,059373422X,9780593734223,4,4.16,Random House,Hardcover,528,2024,2024,2024/11/29
221069105,"Hunting For Happiness: The Outdoorsman's guide to getting rid of buck fever, cowboying up and enjoying life.",Zack Butterfield,"Butterfield, Zack",,,9798991375825,4,4.75,Rocky Mountain Publishing,Kindle Edition,,2024,,2024/11/16
1303,The 48 Laws of Power,Robert Greene,"Greene, Robert",,140280197,9780140280197,1,4.09,Penguin Books,Paperback,452,2000,1999,2024/11/02
34703445,"Edgedancer (The Stormlight Archive, #2.5)",Brandon Sanderson,"Sanderson, Brandon",,1250166543,9781250166548,3,4.13,Tor Books,Hardcover,272,2017,2016,2024/10/05
6342995,The Score Takes Care of Itself: My Philosophy of Leadership,Bill  Walsh,"Walsh, Bill","Steve Jamison, Craig Walsh",1591842662,9781591842668,3,4.21,Portfolio,Hardcover,288,2009,2009,2024/10/03
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,765326361,9780765326362,5,4.76,Tor Books,Hardcover,1088,2014,2014,2024/09/28
204236707,On the Edge: The Art of Risking Everything,Nate Silver,"Silver, Nate",,1594204128,9781594204128,4,3.67,Penguin Press,Hardcover,576,2024,2024,2024/09/18
123025977,Broken Code: Inside Facebook and the Fight to Expose Its Harmful Secrets,Jeff Horwitz,"Horwitz, Jeff",,593793196,9780593793190,2,3.87,Random House Large Print,Paperback,528,2023,,2024/08/28
171681821,The Anxious Generation: How the Great Rewiring of Childhood Caused an Epidemic of Mental Illness,Jonathan Haidt,"Haidt, Jonathan",,593655036,9780593655030,5,4.31,Penguin Press,Hardcover,400,2024,2024,2024/08/16
150246211,The Algebra of Wealth: A Simple Formula for Financial Security,Scott Galloway,"Galloway, Scott",,593714024,9780593714027,3,4.07,Portfolio,Hardcover,304,2024,2024,2024/08/11
